Date;CPI
2023-04;120.59
2023-03;119.76
2023-02;118.55
2023-01;117.22
2022-12;116.7
2022-11;116.81
2022-10;116.32
2022-09;114.9
2022-08;115.49
2022-07;114.94
2022-06;114.6
2022-05;113.63
2022-04;112.78
2022-03;112.26
2022-02;110.49
2022-01;109.51
2021-12;109.34
2021-11;109.09
2021-10;108.64
2021-09;108.16
2021-08;108.38
2021-07;107.64
2021-06;107.57
2021-05;107.38
2021-04;107.02
2021-03;106.8
2021-02;106.07
2021-01;106.03
2020-12;105.75
2020-11;105.5
2020-10;105.27
2020-09;105.3
2020-08;105.89
2020-07;106.01
2020-06;105.58
2020-05;105.49
2020-04;105.32
2020-03;105.34
2020-02;105.27
2020-01;105.24
2019-12;105.78
2019-11;105.27
2019-10;105.2
2019-09;105.28
2019-08;105.67
2019-07;105.11
2019-06;105.35
2019-05;105.06
2019-04;104.93
2019-03;104.55
2019-02;103.64
2019-01;103.52
2018-12;104.1
2018-11;104.0
2018-10;104.24
2018-09;104.12
2018-08;104.35
2018-07;103.8
2018-06;103.93
2018-05;103.92
2018-04;103.43
2018-03;103.22
2018-02;102.05
2018-01;102.06
2017-12;102.16
2017-11;101.8
2017-10;101.7
2017-09;101.58
2017-08;101.74
2017-07;101.17
2017-06;101.58
2017-05;101.59
2017-04;101.57
2017-03;101.47
2017-02;100.73
2017-01;100.57
2016-12;100.9
2016-11;100.55
2016-10;100.54
2016-09;100.5
2016-08;100.74
2016-07;100.39
2016-06;100.8
2016-05;100.65
2016-04;100.18
2016-03;100.09
2016-02;99.31
2016-01;99.02
2015-12;100.09
2015-11;99.86
2015-10;100.07
2015-09;99.99
2015-08;100.36
2015-07;100.0
2015-06;100.49
2015-05;100.56
2015-04;100.3
2015-03;100.17
2015-02;99.42
2015-01;98.7
2014-12;99.82
2014-11;99.75
2014-10;99.92
2014-09;99.89
2014-08;100.26
2014-07;99.78
2014-06;100.16
2014-05;100.21
2014-04;100.18
2014-03;100.21
2014-02;99.7
2014-01;99.09
2013-12;99.73
2013-11;99.35
2013-10;99.39
2013-09;99.52
2013-08;99.72
2013-07;99.22
2013-06;99.57
2013-05;99.39
2013-04;99.35
2013-03;99.46
2013-02;98.65
2013-01;98.34
2012-12;98.9
2012-11;98.54
2012-10;98.71
2012-09;98.51
2012-08;98.76
2012-07;98.05
2012-06;98.56
2012-05;98.51
2012-04;98.56
2012-03;98.39
2012-02;97.49
2012-01;97.03
2011-12;97.41
2011-11;96.99
2011-10;96.69
2011-09;96.43
2011-08;96.46
2011-07;95.91
2011-06;96.39
2011-05;96.31
2011-04;96.24
2011-03;95.9
2011-02;95.07
2011-01;94.6
2010-12;94.88
2010-11;94.41
2010-10;94.29
2010-09;94.15
2010-08;94.19
2010-07;93.95
2010-06;94.26
2010-05;94.27
2010-04;94.14
2010-03;93.85
2010-02;93.36
2010-01;92.79
2009-12;93.01
2009-11;92.74
2009-10;92.59
2009-09;92.49
2009-08;92.7
2009-07;92.19
2009-06;92.65
2009-05;92.52
2009-04;92.39
2009-03;92.24
2009-02;92.06
2009-01;91.67
2008-12;92.07
2008-11;92.32
2008-10;92.79
2008-09;92.84
2008-08;92.87
2008-07;92.93
2008-06;93.18
2008-05;92.79
2008-04;92.26
2008-03;91.91
2008-02;91.18
2008-01;90.98
2007-12;90.99
2007-11;90.62
2007-10;90.08
2007-09;89.83
2007-08;89.7
2007-07;89.32
2007-06;89.61
2007-05;89.48
2007-04;89.25
2007-03;88.77
2007-02;88.36
2007-01;88.17
2006-12;88.51
2006-11;88.3
2006-10;88.19
2006-09;88.4
2006-08;88.58
2006-07;88.29
2006-06;88.46
2006-05;88.46
2006-04;88.08
2006-03;87.69
2006-02;87.31
2006-01;86.97
2005-12;87.0
2005-11;86.9
2005-10;87.1
2005-09;87.1
2005-08;86.8
2005-07;86.4
2005-06;86.5
2005-05;86.4
2005-04;86.4
2005-03;86.2
2005-02;85.6
2005-01;85.1
2004-12;85.5
2004-11;85.4
2004-10;85.4
2004-09;85.2
2004-08;85.1
2004-07;84.9
2004-06;85.0
2004-05;85.0
2004-04;84.7
2004-03;84.4
2004-02;84.1
2004-01;83.7
2003-12;83.7
2003-11;83.6
2003-10;83.5
2003-09;83.3
2003-08;82.9
2003-07;82.7
2003-06;82.8
2003-05;82.7
2003-04;82.7
2003-03;82.8
2003-02;82.5
2003-01;81.9
2002-12;81.7
2002-11;81.6
2002-10;81.6
2002-09;81.5
2002-08;81.3
2002-07;81.1
2002-06;81.2
2002-05;81.2
2002-04;81.1
2002-03;80.8
2002-02;80.4
2002-01;80.4
2001-12;80.0
2001-11;79.9
2001-10;80.1
2001-09;80.0
2001-08;79.9
2001-07;79.9
2001-06;80.0
2001-05;80.0
2001-04;79.5
2001-03;79.1
2001-02;78.7
2001-01;78.5
2000-12;78.8
2000-11;78.8
2000-10;78.7
2000-09;78.7
2000-08;78.3
2000-07;78.2
2000-06;78.3
2000-05;78.1
2000-04;77.9
2000-03;77.9
2000-02;77.5
2000-01;77.4
1999-12;77.4
1999-11;77.1
1999-10;77.0
1999-09;77.0
1999-08;76.8
1999-07;76.7
1999-06;76.9
1999-05;76.9
1999-04;76.9
1999-03;76.7
1999-02;76.4
1999-01;76.2
1998-12;76.4
1998-11;76.4
1998-10;76.4
1998-09;76.5
1998-08;76.5
1998-07;76.3
1998-06;76.6
1998-05;76.6
1998-04;76.5
1998-03;76.4
1998-02;76.2
1998-01;75.9
1997-12;76.2
1997-11;76.2
1997-10;76.0
1997-09;76.1
1997-08;76.0
1997-07;75.7
1997-06;75.8
1997-05;75.9
1997-04;75.8
1997-03;75.7
1997-02;75.7
1997-01;75.5
1996-12;75.3
1996-11;75.2
1996-10;75.2
1996-09;75.0
1996-08;74.8
1996-07;74.9
1996-06;75.1
1996-05;75.2
1996-04;75.0
1996-03;74.9
1996-02;74.4
1996-01;74.1
